date,side,conf,adx,vol_20,rsi_14,month,dayofweek,is_trend,trend_align,slope_5d,above_ema50,vol_regime,fwd_ret5,actual_pnl,win
2025-01-02,BUY,0.41,39.8,0.00433,34.4,1,3,True,1,-0.001081,0,mid,-0.00298,-0.00328,False
2025-01-03,BUY,0.715,40.6,0.00462,28.6,1,4,True,1,-0.003734,0,mid,-0.00166,-0.00196,False
2025-01-06,SELL,0.401,38.7,0.00438,33.9,1,0,True,1,-0.003729,0,mid,-0.00516,0.00486,True
2025-01-13,SELL,0.503,36.0,0.00496,33.2,1,0,True,1,-0.003216,0,mid,-0.00238,0.00208,True
2025-01-16,SELL,0.526,32.7,0.00502,40.1,1,3,True,0,0.000562,0,mid,0.00041,-0.00071,False
2025-01-17,SELL,0.494,31.3,0.00401,40.9,1,4,True,0,0.001411,0,low,0.00056,-0.00086,False
2025-01-21,SELL,0.689,27.9,0.00493,54.2,1,1,True,0,0.002033,0,mid,-0.00215,0.00185,True
2025-01-22,SELL,0.632,26.8,0.0049,52.7,1,2,True,0,0.003289,0,mid,-0.00153,0.00123,True
2025-01-23,SELL,0.422,25.5,0.0049,53.1,1,3,True,0,0.003329,0,mid,-0.00036,6e-05,True
2025-01-24,SELL,0.518,25.4,0.0049,53.7,1,4,True,0,0.002568,0,mid,-0.00268,0.00238,True
2025-01-27,SELL,0.576,25.5,0.005,58.5,1,0,True,1,0.000997,1,mid,-0.01438,0.01408,True
2025-01-28,SELL,0.726,24.8,0.00503,55.8,1,1,False,0,0.001301,1,mid,0.00777,-0.00807,False
2025-01-29,SELL,0.642,23.8,0.00501,53.8,1,2,False,0,0.000641,0,mid,0.0044,-0.0047,False
2025-01-30,SELL,0.599,23.0,0.00485,53.4,1,3,False,0,-0.000192,0,mid,0.0027,-0.003,False
2025-01-31,SELL,0.546,21.9,0.0045,49.9,1,4,False,0,-0.001538,0,mid,-0.00145,0.00115,True
2025-02-06,SELL,0.384,18.0,0.00554,51.6,2,3,False,0,0.001277,0,high,0.00261,-0.00291,False
2025-02-07,SELL,0.424,17.2,0.00554,50.2,2,4,False,0,0.003376,0,high,0.00671,-0.00701,False
2025-02-13,SELL,0.822,14.6,0.00576,51.7,2,3,False,0,0.000636,0,high,-0.00262,0.00232,True
2025-02-14,SELL,0.66,14.9,0.00592,57.4,2,4,False,0,0.003768,1,high,0.00763,-0.00793,False
2025-02-17,SELL,0.838,15.2,0.00589,59.4,2,0,False,0,0.004539,1,high,-0.00245,0.00215,True
2025-02-18,SELL,0.785,15.0,0.00505,59.0,2,1,False,0,0.003239,1,mid,-0.00129,0.00099,True
2025-02-19,SELL,0.683,14.4,0.00511,54.9,2,2,False,0,0.001305,1,mid,0.006,-0.0063,False
2025-02-20,SELL,0.695,13.9,0.00514,52.1,2,3,False,0,-0.001168,1,mid,-0.00336,0.00306,True
2025-02-21,SELL,0.702,13.9,0.00542,58.8,2,4,False,0,-0.000398,1,high,-0.00893,0.00863,True
2025-02-24,SELL,0.707,14.2,0.00534,56.1,2,0,False,0,0.000297,1,high,0.0018,-0.0021,False
2025-02-25,SELL,0.565,14.4,0.00533,54.6,2,1,False,0,0.000763,1,mid,0.00684,-0.00714,False
2025-02-26,BUY,0.565,14.7,0.00547,59.8,2,2,False,0,0.001594,1,high,0.01354,0.01324,True
2025-02-27,SELL,0.651,13.8,0.00554,55.9,2,3,False,0,0.000245,1,high,0.0158,-0.0161,False
2025-02-28,SELL,0.369,13.1,0.00588,47.3,2,4,False,0,-0.001261,0,high,-0.00065,0.00035,True
2025-03-04,SELL,0.524,13.7,0.00475,54.9,3,1,False,0,-0.001463,1,mid,-0.00195,0.00165,True
2025-03-05,BUY,0.891,16.0,0.00549,64.0,3,2,False,0,0.003495,1,high,0.0069,0.0066,True
2025-03-06,BUY,0.884,18.5,0.00639,71.3,3,3,False,0,0.009606,1,high,-0.00256,-0.00286,False
2025-03-07,BUY,0.913,21.0,0.00637,70.6,3,4,False,0,0.009962,1,high,-0.00281,-0.00311,False
2025-03-10,BUY,0.86,23.3,0.00608,73.3,3,0,False,0,0.008515,1,high,0.00236,0.00206,True
2025-03-11,BUY,0.763,25.8,0.00611,71.3,3,1,True,1,0.004549,1,high,0.00348,0.00318,True
2025-03-12,BUY,0.636,28.1,0.00614,74.0,3,2,True,1,0.002675,1,high,0.00186,0.00156,True
2025-03-13,BUY,0.513,29.2,0.00625,71.3,3,3,True,1,0.002304,1,high,-0.00252,-0.00282,False
2025-03-14,BUY,0.573,30.4,0.00626,68.3,3,4,True,1,0.00034,1,high,-0.00506,-0.00536,False
2025-03-17,SELL,0.773,31.6,0.00626,69.4,3,0,True,1,0.000232,1,high,-0.00193,0.00163,True
2025-03-18,SELL,0.755,32.9,0.00624,71.1,3,1,True,1,4.6e-05,1,high,-0.00297,0.00267,True
2025-03-19,SELL,0.794,33.6,0.00611,72.0,3,2,True,1,0.00156,1,high,-0.00149,0.00119,True
2025-03-20,SELL,0.742,33.3,0.0061,68.9,3,3,True,1,0.001566,1,high,-0.00421,0.00391,True
2025-03-21,BUY,0.549,32.8,0.00618,63.1,3,4,True,0,-0.000517,1,high,0.00549,0.00519,True
2025-03-24,SELL,0.519,32.0,0.00616,60.9,3,0,True,0,-0.002292,1,high,0.00212,-0.00242,False
2025-03-25,SELL,0.708,31.1,0.00622,57.7,3,1,True,0,-0.003201,1,high,-0.00047,0.00017,True
2025-03-26,BUY,0.574,30.1,0.00616,56.1,3,2,True,0,-0.002786,1,high,-0.00212,-0.00242,False
2025-03-27,SELL,0.759,28.9,0.0062,51.8,3,3,True,0,-0.002569,1,high,0.01044,-0.01074,False
2025-03-28,SELL,0.811,28.1,0.00578,56.5,3,4,True,0,-0.001214,1,high,0.01238,-0.01268,False
2025-03-31,SELL,0.824,27.4,0.00578,58.2,3,0,True,1,0.000502,1,high,-0.00536,0.00506,True
2025-04-01,BUY,0.568,26.7,0.00569,57.7,4,1,True,1,0.00134,1,high,-0.0063,-0.0066,False
2025-04-02,SELL,0.485,26.6,0.00499,55.2,4,2,True,1,0.001165,1,mid,0.00596,-0.00626,False
2025-04-03,SELL,0.549,28.6,0.00423,63.5,4,3,True,1,0.001731,1,mid,-0.00258,0.00228,True
2025-04-04,SELL,0.638,30.5,0.00498,70.6,4,4,True,1,0.004867,1,mid,0.02792,-0.02822,False
2025-04-07,BUY,0.691,31.1,0.005,64.7,4,0,True,1,0.005308,1,mid,0.00758,0.00728,True
2025-04-08,SELL,0.49,31.6,0.00521,58.5,4,1,True,1,0.002878,1,mid,-0.00031,1e-05,True
2025-04-09,BUY,0.572,32.7,0.00515,62.2,4,2,True,1,0.000138,1,mid,-0.00414,-0.00444,False
2025-04-10,BUY,0.525,34.1,0.00515,59.7,4,3,True,0,-0.001708,1,mid,0.00922,0.00892,True
2025-04-11,BUY,0.733,36.3,0.00798,72.4,4,4,True,1,0.005294,1,high,0.01018,0.00988,True
2025-04-14,SELL,0.537,38.3,0.00808,74.8,4,0,True,1,0.010216,1,high,-0.01403,0.01373,True
2025-04-15,BUY,0.838,40.0,0.00809,74.5,4,1,True,1,0.009929,1,high,-0.00211,-0.00241,False
2025-04-16,BUY,0.816,41.6,0.0082,70.6,4,2,True,1,0.00679,1,high,0.00393,0.00363,True
2025-04-17,SELL,0.792,43.1,0.00831,73.9,4,3,True,1,0.002008,1,high,-0.00253,0.00223,True
2025-04-22,SELL,0.949,45.0,0.00831,76.9,4,1,True,1,0.003484,1,high,0.00582,-0.00612,False
2025-04-23,BUY,0.453,45.2,0.00909,65.4,4,2,True,1,0.002138,1,high,-0.00174,-0.00204,False
